date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:09:28	143896/143896	---M-Z	200	added ('OK')	text/html	etag:%2223218-5f05407dd6f06-gzip%22	https://themesbrand.com/hybrix/html/apps-calendar.html	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/apps-calendar.html	(from )
01:09:29	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-5ccf82d636e40%22	https://themesbrand.com/robots.txt		(from )
01:09:30	25839/25839	---M-Z	200	added ('OK')	text/css	etag:%2264ef-5f05407e1b4c7-gzip%22	https://themesbrand.com/hybrix/html/assets/libs/fullcalendar/main.min.css	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/fullcalendar/main.min.css	(from https://themesbrand.com/hybrix/html/apps-calendar.html)
01:09:30	120965/120965	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221d885-5f05407df72a7%22	https://themesbrand.com/hybrix/html/assets/images/favicon.ico	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/images/favicon.ico	(from https://themesbrand.com/hybrix/html/apps-calendar.html)
01:09:31	1243/1243	---M-Z	200	added ('OK')	application/javascript	etag:%224db-5f05407e07c47-gzip%22	https://themesbrand.com/hybrix/html/assets/js/layout.js	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/js/layout.js	(from https://themesbrand.com/hybrix/html/apps-calendar.html)
01:09:31	243221/243221	---M-Z	200	added ('OK')	text/css	etag:%223b615-5f05407dd7ea6-gzip%22	https://themesbrand.com/hybrix/html/assets/css/bootstrap.min.css	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/css/bootstrap.min.css	(from https://themesbrand.com/hybrix/html/apps-calendar.html)
01:09:32	44/44	---M--	200	added ('OK')	text/css	etag:%222c-5f05407dd7ea6%22	https://themesbrand.com/hybrix/html/assets/css/custom.min.css	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/css/custom.min.css	(from https://themesbrand.com/hybrix/html/apps-calendar.html)
01:09:32	296576/296576	---M-Z	200	added ('OK')	text/css	etag:%2248680-5f05407dd6f06-gzip%22	https://themesbrand.com/hybrix/html/assets/css/app.min.css	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/css/app.min.css	(from https://themesbrand.com/hybrix/html/apps-calendar.html)
01:09:32	16289/16289	---M--	200	added ('OK')	image/svg+xml	etag:%223fa1-5f05407dfd067%22	https://themesbrand.com/hybrix/html/assets/images/flags/us.svg	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/images/flags/us.svg	(from https://themesbrand.com/hybrix/html/apps-calendar.html)
01:09:33	5913/5913	---M--	200	added ('OK')	image/svg+xml	etag:%221719-5f05407dfc0c7%22	https://themesbrand.com/hybrix/html/assets/images/flags/spain.svg	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/images/flags/spain.svg	(from https://themesbrand.com/hybrix/html/apps-calendar.html)
